20140901,252202162,254570730
20140902,260880779,306675675
20140903,266676758,322767200
20140904,247720539,286228302
20140905,199213663,236026183
20140906,189698470,202093552
20140907,215289891,217112696
20140908,239990204,264319812
20140909,268581481,313517505
20140910,274009822,324055997
20140911,238504264,291749293
20140912,206105452,238192527
20140913,199181666,206180372
20140914,211380841,217939714
20140915,245441029,266638780
20140916,275548470,314664283
20140917,269919468,327523922
20140918,241556950,294864431
20140919,213238805,242259911
20140920,199188081,208676118
20140921,215747545,220130270
20140922,251990347,267827103
20140923,274970988,316742422
20140924,271438828,330175474
20140925,246269635,298637061
20140926,214516755,245776872
20140927,202829255,211662091
20140928,221860962,221944317
20140929,254026897,269346049
20140930,276709853,318527124
