20140901,265783656,284865211
20140902,260890428,261978735
20140903,265621551,297986445
20140904,260172359,296483604
20140905,229978299,242554766
20140906,185880455,201756966
20140907,182080885,183387776
20140908,283506646,308085483
20140909,277117343,274726011
20140910,262290254,268295241
20140911,248471108,274951224
20140912,212218769,260800117
20140913,173707942,191299905
20140914,161285220,221113884
20140915,293881043,339116219
20140916,287782872,280391767
20140917,256135794,287471899
20140918,248120282,293399531
20140919,210768426,242723716
20140920,167216400,190915057
20140921,157553368,216367747
20140922,280405896,305011843
20140923,269953312,274568060
20140924,240093355,289842919
20140925,236879740,282168848
20140926,197188191,249024906
20140927,162460800,216354741
20140928,163532845,231271663
20140929,273532752,379496039
20140930,265564379,308152202
