20140901,264434168,288949495
20140902,246955932,271368624
20140903,250467460,290245623
20140904,252413238,274241431
20140905,247707243,274881668
20140906,168541788,202101991
20140907,178427133,179477474
20140908,200755941,250182971
20140909,256999098,271368624
20140910,248444538,271368624
20140911,259887617,271368624
20140912,221082869,253561334
20140913,163613541,178467498
20140914,160195625,192681879
20140915,267537420,289306707
20140916,263660906,268925289
20140917,249434924,284629880
20140918,242682582,276913934
20140919,203789211,270964348
20140920,161531821,190983456
20140921,167181899,192681879
20140922,245371090,284039078
20140923,239195859,268170024
20140924,234238332,268170024
20140925,229855245,284460483
20140926,208121917,283901586
20140927,165881447,189483279
20140928,224218806,260900687
20140929,233201649,313436172
20140930,230664262,297567118
